Trf_Msg,Alpha_letters,Len_Of_Words,No_of_Chars,No_of_Sentences,No_of_digits,Num_chars,Special_chars,Target
messag text miss sender name miss number miss sent date miss miss lot that everyth miss sent via fullonsm com,123,25,152,1,0,0,9,0
come room point iron plan weekend,59,17,75,1,0,0,0,0
co want thing,23,8,30,1,0,0,0,0
oki go yan jiu skip ard oso go cine den go mrt one blah blah blah,63,21,95,1,0,0,12,0
bring home wendi,19,5,24,1,0,0,1,0
date servic cal box sk ch,24,7,49,1,4,19,1,1
whatsup dont want sleep,28,7,35,2,0,0,1,0
alright new goal,23,7,29,1,0,0,0,0
free entri weekli competit text word win www txttowin co uk,73,19,107,2,3,10,5,1
alright head minut text meet,50,15,66,1,0,0,3,0
send logo ur lover name join heart txt love name name mobno eg love adam eve yahoo pobox wq txtno ad,94,28,159,3,10,31,3,1
ye last week take live call,37,10,48,1,0,0,4,0
someon contact date servic enter phone fanci find call landlin pobox tf,115,28,162,3,4,19,2,1
siva hostel aha,17,5,24,1,0,0,3,0
urgent mobil number award prize guarante call land line claim valid hr,89,19,137,4,4,21,4,1
send ur friend receiv someth ur voic speak express childish naughti sentiment rowdi ful attitud romant shi attract funni lt gt irrit lt gt lovabl repli,175,35,248,3,9,9,30,0
ok ok guess,17,7,25,1,0,0,3,0
aathi dear,20,5,27,1,0,0,4,0
pain urin thing els,30,7,37,1,0,0,1,0
esplanad mind give lift co got car today,47,14,69,1,1,1,4,0
wnt buy bmw car urgent vri urgent hv shortag lt gt lac sourc arng di amt lt gt lac that prob,106,33,150,2,0,0,17,0
home watch tv lor,19,5,24,1,0,0,1,0
usual take fifteen fuck minut respond ye question,66,15,80,1,0,0,0,0
congrat nokia video camera phone call call cost ppm ave call min vari mobil close post bcm ldn wc xx,97,24,157,2,9,33,2,1
book ticket pongal,21,4,25,1,0,0,1,0
avail like right around hillsborough amp lt gt th,53,13,73,2,0,0,9,0
messag sent askin lt gt dollar shoul pay lt gt lt gt,54,17,89,2,0,0,17,0
ask iouri told stori like ten time alreadi,45,13,58,1,0,0,2,0
long applebe fuck take,31,6,36,1,0,0,0,0
hi hope get txt journey hasnt gd min late think,57,16,76,1,1,2,3,0
like love arrang,35,11,47,2,0,0,2,0
ye realli great bhaji told kalli best cricket sachin world tough get,81,19,104,1,0,0,8,0
suppos wake gt,27,8,38,1,0,0,4,0
oic saw tot din found group liao,44,17,69,1,0,0,9,0
sorri call later,17,5,22,1,0,0,2,0
hey hey wereth monkeespeopl say monkeyaround howdi gorgeou,56,9,66,2,0,0,2,0
sorri batteri die come get gram place,70,21,94,1,0,0,6,0
well done blimey exercis yeah kinda rememb wot hmm,52,12,70,1,0,0,6,0
wont get concentr dear know mind everyth,57,13,73,1,0,0,3,0
lol made plan new year,30,8,42,1,0,0,4,0
min later,9,3,17,1,1,2,3,0
hank lotsli,11,2,13,1,0,0,1,0
thank hope good day today,36,10,45,1,0,0,0,0
detail want transfer acc enough,43,12,57,1,0,0,6,0
ok tell stay yeah tough optimist thing improv month,83,21,105,2,0,0,2,0
loan purpos homeown tenant welcom previous refus still help call free text back help,105,22,164,5,5,19,9,1
si si think ill go make oreo truffl,36,10,47,2,0,0,2,0
look ami ure beauti intellig woman like lot know like like worri,86,27,117,2,0,0,3,0
hope result consist intellig kind start ask practicum link keep ear open best ttyl,128,29,158,3,0,0,3,0
call cost guess isnt bad miss ya need ya want ya love ya,54,16,79,3,2,3,6,0
go thru differ feel waver decis cope individu time heal everyth believ,118,24,142,1,0,0,3,0
go phone gon na die stay,47,15,62,2,0,0,1,0
great never better day give even reason thank god,57,13,71,3,0,0,2,0
upgrdcentr orang custom may claim free camera phone upgrad loyalti call offer end th juli appli opt avail,126,29,175,4,4,13,8,1
sorri call later ok bye,22,7,29,1,0,0,2,0
ok way railway,22,8,29,1,0,0,0,0
great princess love give receiv oral doggi style fave posit enjoy make love lt gt time per night,110,26,148,5,0,0,11,0
put stuff road keep get slipperi,66,17,83,1,0,0,2,0
go ride bike,29,8,37,1,0,0,1,0
yup need ju wait rain stop,28,10,44,2,2,2,4,0
mani compani tell languag,36,8,45,2,0,0,2,0
okmail dear dave final notic collect tenerif holiday cash award call landlin tc sae box cw wx ppm,106,25,161,3,6,24,5,1
long sinc scream princess,40,9,50,1,0,0,2,0
noth meant money enter account bank remov flat rate someon transfer lt gt account lt gt dollar got remov bank differ charg also differ sure trust ja person send account detail co,227,53,298,4,1,1,18,0
want get laid tonight want real dog locat sent direct ur mob join uk largest dog network txting moan nyt ec msg,113,29,159,5,6,13,7,1
nice line said broken heart plz cum time infront wise trust good,88,26,125,1,2,2,10,0
ok gon na head usf like fifteen minut,40,12,51,1,0,0,1,0
love aathi love lot,20,6,28,1,0,0,4,0
tension ah machi problem,28,6,34,1,0,0,3,0
pick anoth th done,33,11,46,1,1,1,3,0
guy get back said think stay mcr,65,16,81,2,0,0,2,0
almost see sec,21,7,28,1,0,0,1,0
yo carlo friend alreadi ask work weekend,71,17,90,1,0,0,3,0
watch tv lor,13,3,18,1,0,0,3,0
thank babi cant wait tast real thing,40,11,54,2,0,0,4,0
chang fb jaykwon thuglyf falconerf,47,9,55,1,0,0,0,0
win realli side long time,33,10,45,1,1,1,1,0
free messag activ free text messag repli messag word free term condit visit www com,106,22,146,1,2,14,4,1
dear reach railway happen,33,7,40,2,0,0,1,0
depend qualiti want type sent boy fade glori want ralph mayb,80,20,107,2,2,2,4,0
think fix send test messag,38,12,50,1,0,0,2,0
sorri man account dri would want could trade back half could buy shit credit card,93,27,120,1,0,0,2,0
congrat year special cinema pass call suprman matrix starwar etc free bx ip pm dont miss,98,25,160,7,10,24,12,1
sorri meet call later,26,7,32,1,0,0,2,0
class lt gt reunion,22,6,34,1,0,0,6,0
free call,24,8,32,1,0,0,2,0
got meh,10,3,16,1,0,0,4,0
nope think go monday sorri repli late,48,14,67,1,0,0,6,0
told accentur confirm true,43,11,55,2,0,0,2,0
kate jackson rec center ish right,34,7,43,1,1,1,2,0
dear reach room,19,5,23,1,0,0,0,0
fight world easi either win lose bt fightng close dificult lose lose win still lose,110,33,149,1,1,1,4,0
come,14,4,21,1,0,0,1,0
check nuerologist,20,3,23,1,0,0,1,0
lolnic went fish water,28,8,40,3,0,0,5,0
congratul week competit draw prize claim call cs stop sm ppm,94,24,170,2,7,41,7,1
wait car dat bore wat co wait outsid got noth home stuff watch tv wat,86,27,117,3,1,1,5,0
mayb westshor hyde park villag place near hous,50,11,62,1,0,0,2,0
know anthoni bring money school fee pay rent stuff like that need help friend need,123,34,166,6,0,0,12,0
signific,20,4,24,1,0,0,2,0
opinion jada kusruthi lovabl silent spl charact matur stylish simpl pl repli,90,17,136,2,9,9,12,0
latest still scroung ammo want give new ak tri,74,23,99,1,1,1,2,0
prabha soryda reali frm heart sori,33,10,45,1,0,0,8,0
lol ok forgiven,17,4,23,1,0,0,2,0
jst chang tat,18,5,25,1,0,0,4,0
guarante latest nokia phone gb ipod mp player prize txt word collect ibhltd ldnw mtmsgrcvd,97,25,148,3,7,18,7,1
competit,20,5,26,1,0,0,3,0
boltblu tone repli poli mono eg poli cha cha slide yeah slow jamz toxic come stop tone txt,98,26,146,1,8,10,7,1
credit top http www bubbletext com renew pin tgxxrz,72,16,89,1,0,0,5,1
way transport less problemat sat night way want ask join bday feel free need know definit no book fri,126,35,168,3,0,0,5,0
usual person unconsci children adult may behav abnorm call,95,22,117,2,0,0,3,0
ebay might less elsewher,36,10,46,1,0,0,2,0
shall come get pickl,21,6,26,1,0,0,0,0
gon na go get taco,23,6,28,1,0,0,0,0
rude campu,24,7,32,1,0,0,3,0
urgent mobil award bonu caller prize nd attempt contact call box qu,86,22,145,5,10,24,10,1
hi ard christma enjoy merri ma,40,14,57,2,1,1,4,0
today offer claim ur worth discount voucher text ye savamob member offer mobil cs sub unsub repli,95,23,160,7,6,24,10,1
ye pretti ladi like singl,32,9,42,2,0,0,2,0
reciev tone within next hr term condit pleas see channel teletext pg,86,19,111,2,2,5,1,1
jay say doubl faggot,29,8,36,1,0,0,2,0
privat account statement show un redeem point call identifi code expir,79,16,146,4,8,40,8,1
today sunday sunday holiday work,38,9,50,1,0,0,7,0
gudnit tc practic go,24,5,33,1,0,0,7,0
late,9,4,15,1,0,0,4,0
call hope malaria know miss guy miss bani big pl give love especi great day,133,40,177,4,1,1,6,0
good afternoon love goe day hope mayb got lead job think boytoy send passion kiss across sea,122,33,160,4,0,0,5,0
probabl gon na see later tonight lt,48,12,63,1,0,0,4,0
mayb fat finger press button know,66,18,84,1,0,0,2,0
ummmmmaah mani mani happi return day dear sweet heart happi birthday dear,68,15,84,1,0,0,2,0
tirupur da start offic call,44,12,57,1,0,0,2,0
www applausestor com monthlysubscript msg max month csc web age stop txt stop,75,16,96,1,4,6,6,1
famou quot develop abil listen anyth uncondit without lose temper self confid mean marri,128,25,169,1,0,0,15,0
go colleg pa els ill come self pa,56,17,76,3,0,0,4,0
oclock mine bash flat plan,34,10,47,2,1,1,2,0
girl stay bed girl need recoveri time id rather pass fun coop bed,102,27,130,3,0,0,3,0
special,19,4,23,1,0,0,1,0
know need get hotel got invit apologis cali sweet come english bloke weddin,115,33,149,3,0,0,3,0
sorri took long omw,25,7,32,1,0,0,1,0
wait lt gt min,11,4,22,1,0,0,7,0
ok give minut think see btw alibi cut hair whole time,75,22,101,3,1,1,4,0
imagin final get sink bath put pace mayb even eat left also imagin feel cage cock surround bath water remind alway own enjoy cuck,217,54,281,1,0,0,9,0
hurri weed defici like three day,43,11,54,1,0,0,3,0
sure get acknowledg astoundingli tactless gener faggi demand blood oath fo,98,22,120,1,0,0,2,0
ok everi night take warm bath drink cup milk see work magic still need loos weight know,105,31,138,3,0,0,4,0
look fri pan case cheap book perhap silli fri pan like book,95,32,135,2,0,0,1,0
well uv caus mutat sunscreen like essenti theseday,55,10,66,2,0,0,2,0
lunch onlin,31,8,40,1,0,0,4,0
know friend alreadi told,32,8,40,1,0,0,1,0
hi princess thank pic pretti,53,14,70,4,0,0,4,0
aiyo alway ex one dunno abt mei repli first time repli fast lucki workin huh got bao ur sugardad ah gee,109,33,160,1,0,0,19,0
hi msg offic,17,7,26,1,0,0,5,0
thanx browni nice,21,7,32,1,1,1,4,0
geeeee love much bare stand,37,11,51,1,0,0,3,0
gent tri contact last weekend draw show prize guarante call claim code valid hr ppm,103,25,160,6,5,22,6,1
fuck babe miss alreadi know let send money toward net need want crave,97,29,146,3,0,0,16,0
ill call mrw ninish address icki american freek wont stop callin bad jen eh,78,21,103,1,2,2,2,0
oooh bed ridden ey think,35,9,45,2,0,0,2,0
anyway go gym whatev love smile hope ok good day babe miss much alreadi,105,30,142,1,0,0,7,0
love daddi make scream pleasur go slap ass dick,71,19,92,3,0,0,3,0
wot wan na missi,20,6,26,1,0,0,1,0
yar lor wait mum finish sch lunch lor whole morn stay home clean room room quit clean hee,96,26,134,1,2,2,9,0
know lab goggl went,30,8,37,1,0,0,0,0
open door,17,5,22,1,0,0,1,0
wait call,18,4,22,1,0,0,1,0
nope wait sch daddi,22,6,33,1,1,1,3,0
cash prize claim call,33,10,69,2,5,19,6,1
tire argu week week want,82,25,109,2,0,0,5,0
wait sch finish ard,21,7,36,1,2,2,2,0
mobil number claim call us back ring claim hot line,63,17,100,1,2,15,2,1
arngd marriag walkin unfortuntli snake bite bt love marriag danc frnt snake amp sayin bite bite,108,28,140,1,0,0,5,0
huh earli dinner outsid izzit,38,8,51,1,0,0,3,0
ok anyway need chang said,37,10,46,1,0,0,0,0
tri contact repli offer min textand new video phone call repli free deliveri tomorrow,104,26,149,1,3,17,0,1
ex wife abl kid want kid one day,47,15,63,2,0,0,3,0
scotland hope show jjc tendenc take care live dream,75,18,95,4,0,0,4,0
tell headach want use hour sick time,52,15,69,1,1,1,1,0
dun thk quit yet hmmm go jazz yogasana oso go meet em lesson den,75,23,110,2,0,0,12,0
pete pleas ring meiv hardli gotani credit,43,9,55,1,0,0,4,0
ya srsli better yi tho,22,6,27,1,0,0,0,0
meet call later,25,9,34,1,0,0,2,0
ur chanc win wkli shop spree txt shop www txt shop com custcar wk,72,24,127,1,6,24,11,1
special select receiv pound award call line close cost ppm cs appli ag promo,93,22,142,6,4,19,7,1
privat account statement show un redeem point call identifi code expir,79,16,148,3,8,40,9,1
still grand prix,19,5,24,1,0,0,1,0
met stranger choos friend long world stand friendship never end let friend forev gud nitz,111,28,147,4,0,0,9,0
great,17,6,24,2,0,0,2,0
gud mrng dear nice day,23,7,29,1,0,0,0,0
import custom servic announc call freephon,61,10,86,2,3,11,2,1
exhaust train morn much wine pie sleep well,68,17,87,4,0,0,3,0
go buy mum present ar,28,10,38,1,0,0,3,0
mind blastin tsunami occur rajnik stop swim indian ocean,81,17,104,1,0,0,8,0
send home first ok lor readi yet,43,15,59,2,0,0,4,0
speak cash yet,30,8,38,1,0,0,1,0
happi come noon,30,8,38,2,0,0,1,0
meet lunch la,16,4,22,1,0,0,3,0
take care get well soon,20,6,25,1,0,0,0,0
xclusiv clubsaisai morow soire special zouk nichol pari free rose ladi info,83,15,135,2,6,27,8,1
meant say cant wait see get bore bridgwat banter,70,18,87,1,0,0,0,0
neva mind ok,13,5,19,1,0,0,3,0
fine imma get drink somethin want come find,49,15,66,2,0,0,4,0
day kick euro kept date latest news result daili remov send get txt stop,98,28,140,3,3,11,2,1
valentin game send di msg ur friend answer someon realli love que colour suit best rpli,114,30,156,5,1,1,9,0
mani depend,19,4,22,1,0,0,0,0
thanx today cer nice catch ave find time often oh well take care soon,79,24,107,1,3,3,1,0
call said choos futur,50,14,65,1,0,0,3,0
happi valentin day know earli hundr handsom beauti wish thought finish aunti uncl st,114,27,149,2,1,1,8,0
like shock leh co tell shuhui like tell leona also like dat almost know liao got ask abt ur reaction lor,106,28,137,4,0,0,4,0
famili happi,20,4,25,1,0,0,2,0
come pick come immedi aft ur lesson,41,11,60,1,0,0,6,0
let snow let snow kind weather bring ppl togeth friendship grow,82,19,103,3,0,0,3,0
dear got lt gt dollar hi hi,24,8,37,1,0,0,5,0
good word word may leav dismay mani time,43,11,58,1,0,0,5,0
make sure alex know birthday fifteen minut far concern,71,17,87,1,0,0,1,0
sorri got thing may pub later,42,13,58,2,0,0,4,0
nah straight bring bud drink someth actual littl use straight cash,99,24,123,1,0,0,3,0
haha good hear offici paid market th,51,15,67,1,1,1,2,0
mani lick take get center tootsi pop,51,15,66,1,0,0,1,0
yup thk teacher said make face look longer darren ask cut short,77,22,102,2,1,1,2,0
new textbuddi chat horni guy ur area free receiv search postcod gaytextbuddi com txt one name,94,22,130,2,5,10,2,1
today vodafon number end select receiv award number match call receiv award,99,21,150,2,4,21,2,1
pleas dont say like hi hi hi,27,8,35,2,0,0,1,0
thank,6,2,8,1,0,0,1,0
oh forward messag thought send,49,13,62,2,0,0,1,0
got seventeen pound seven hundr ml hope ok,43,10,58,2,0,0,2,0
dear voucher holder claim week offer pc go http www tlp co uk expressoff ts cs appli stop text txt stop,102,27,143,1,3,7,13,1
funni,13,5,20,1,0,0,3,0
sweetheart hope kind day one load reason smile biola,79,19,100,3,0,0,3,0
login dat time dad fetch home,34,8,51,1,0,0,4,0
shower babi,27,8,36,1,0,0,2,0
askd question hour answer,42,11,53,2,0,0,1,0
well imma definit need restock thanksgiv let know,71,17,88,1,0,0,3,0
said kiss kiss sound effect gorgeou man kind person need smile brighten day,98,29,133,3,0,0,7,0
probabl gon na swing wee bit,29,8,36,1,0,0,0,0
ya nice readi thursday,27,7,37,3,0,0,3,0
allo brave buse taken train triumph mean ham jolli good rest week,94,27,127,4,0,0,3,0
watch cartoon listen music amp eve go templ amp church,69,16,92,1,0,0,8,0
mind ask happen dont say uncomfort,62,17,80,2,0,0,2,0
privat account statement show un redeem point call identifi code expir,79,16,136,3,7,29,9,1
prob send email,26,8,35,2,0,0,2,0
cash prize claim call rstm sw ss ppm,46,16,97,4,8,24,11,1
that cool sometim slow gentl sonetim rough hard,52,10,66,3,0,0,4,0
gon na say sorri would normal start panic time sorri see tuesday,91,24,119,5,0,0,6,0
wait know wesley town bet hella drug,49,14,65,2,0,0,3,0
fine miss much,20,6,26,1,0,0,1,0
got person stori,23,6,28,1,0,0,0,0
tell drug dealer get impati,38,8,45,1,0,0,1,0
sun cant come earth send luv ray cloud cant come river send luv rain cant come meet send care msg gud evng,117,37,157,3,0,0,4,0
place man,28,9,36,1,0,0,0,0
doesnt make sens take unless free need know wikipedia com,74,19,94,2,0,0,3,0
premium phone servic call,30,6,59,1,3,21,0,1
sea lay rock rock envelop envelop paper paper word,100,27,140,4,1,1,11,0
mum repent,17,5,22,1,0,0,2,0
sorri go home first daddi come fetch later,40,9,57,1,0,0,6,0
leav de start prepar next,28,7,43,2,0,0,9,0
ye babi studi posit kama sutra,46,12,61,2,0,0,3,0
en chikku nang bakra msg kalstiya tea coffe,45,10,56,1,0,0,4,0
carlo minut still need buy,42,13,54,1,0,0,1,0
pay lt decim gt lakh,25,7,37,1,0,0,6,0
good even ttyl,20,5,25,2,0,0,1,0
receiv msg,16,5,21,1,0,0,1,0
ho ho big belli laugh see ya tomo,26,8,36,2,0,0,2,0
sm ac sun post hello seem cool,29,8,42,2,1,4,3,1
get ur st rington free repli msg tone gr top tone phone everi week per wk opt send stop,97,27,154,3,8,21,3,1
